user_id	is_5g_user	is_5g_product	is_5g_up_dg	prime_equity_5g	prime_equity_5g_contract
8415051832741567	0	0	0	0	0
7117043084547767	0	0	0	0	0
3417041491125401	0	0	0	1	0
3018072579631273	0	0	0	0	0
1718061299803461	0	0	0	0	0
1819071650712828	0	0	0	0	0
7018052015680360	0	0	0	0	0
7616101447914291	0	0	0	0	0
1816120977185819	0	0	0	0	0
8717070693340622	0	0	0	0	0
7118020755872598	0	0	0	0	0
1720071770448846	0	0	0	0	0
3420052150172418	0	0	0	0	0
3020042370271215	0	0	0	0	0
3620090863378734	0	0	0	0	0
8120090970874405	0	0	0	0	0
7118030457553568	0	0	0	0	0
9019021550178031	0	0	0	0	0
7619082351099701	0	0	0	0	0
5119071961948335	0	0	0	0	0
3417112259583277	0	0	0	0	0
9119020887914538	0	0	0	0	0
3818031968014343	0	0	0	0	0
3117042687008792	0	0	0	0	0
7620010150125660	0	0	0	0	0
7616072038338165	0	0	0	0	0
9018092686507348	0	0	0	0	0
5119061669102496	0	0	0	0	0
8820090370188336	0	0	0	0	0
1117030187953944	0	0	0	0	0
5118061664638917	0	0	0	0	0
5120090956331651	0	0	0	0	0
7618071995026201	0	0	0	0	0
7615122874268175	0	0	0	0	0
7420072470095676	0	0	0	0	0
5117110189412165	0	0	0	0	0
8118042558886599	0	0	0	0	0
1720080970569200	0	0	0	0	0
5118112289313107	0	0	0	0	0
7417082293922234	0	0	0	0	0
8520082070961543	0	0	0	0	0
7118072865488757	0	0	0	0	0
9120041370369430	0	0	0	0	0
5119061368742613	0	0	0	0	0
8718112185733462	0	0	0	0	0
8620022355127974	0	0	0	0	0
3619012394130338	0	0	0	0	0
3019101458231645	0	0	0	0	0
8718091080929576	0	0	0	0	0
3818092838836366	0	0	0	0	0
1715123104874425	0	0	0	0	0
1119031448699314	0	0	0	0	0
8417101155378011	0	0	0	0	0
1020090270577933	0	0	0	0	0
7119052254847973	0	0	0	0	0
8418102189402792	0	0	0	0	0
3114120727615640	0	0	0	0	0
3020032056656028	0	0	0	0	0
7617081159664100	0	0	0	0	0
7618062992519941	0	0	0	0	0
8417110958337454	0	0	0	0	0
8418010163783389	0	0	0	1	0
8419091656938952	0	0	0	0	0
8118123198551120	0	0	0	0	0
7519020287615152	0	0	0	0	0
5120052651982876	0	0	0	0	0
8317101497037517	0	0	0	0	0
7617063020496093	0	0	0	0	0
9718052872680172	0	0	0	0	0
7519040994900785	0	0	0	0	0
9719041851152144	0	0	0	0	0
3418072677895114	0	0	0	0	0
1719042171030926	0	0	0	0	0
7417120152026934	0	0	0	0	0
7420041653816415	0	0	0	0	0
3619061859601782	0	0	0	0	0
7018033095879995	0	0	0	0	0
5118040831705127	0	0	0	0	0
1019053128071439	0	0	0	0	0
8117062467625268	0	0	0	0	0
3818033068864398	0	0	0	0	0
3418080178674138	0	0	0	1	0
5120061955477744	0	0	0	0	0
5118041858344809	0	0	0	0	0
1820091071170815	0	0	0	0	0
3418120993741458	0	0	0	0	0
1018012176460834	0	0	0	0	0
1818070864184844	0	0	0	0	0
3420030556386257	0	0	0	0	0
3019021850346142	0	0	0	0	0
3417060294662519	0	0	0	0	0
1818110475626607	0	0	0	0	0
1720081570599577	0	0	0	1	0
5119112264395106	0	0	0	0	0
7419101829183458	0	0	0	0	0
1120072770060195	0	0	0	0	0
7620063052141440	0	0	0	0	0
8418061175482623	0	0	0	0	0
